,0,1,2
0,-2.4602416,-6.963833,2.2092335
1,-2.4612052,-6.963561,2.2103999
2,-2.4616494,-6.9633374,2.2104604
3,-2.4616618,-6.9634914,2.210795
4,-2.462248,-6.964033,2.2118287
5,-2.4608352,-6.965046,2.2104013
6,-2.461476,-6.964962,2.211233
7,-2.4615443,-6.9649315,2.2115757
8,-2.4616315,-6.964934,2.211609
9,-2.4618044,-6.96526,2.2115648
10,-2.4616907,-6.965525,2.2110639
11,-2.4612134,-6.9661026,2.2104855
12,-2.4608417,-6.96622,2.2100313
13,-2.4597049,-6.966634,2.208658
14,-2.458759,-6.9668593,2.2075348
15,-2.4577916,-6.9671535,2.206371
16,-2.457354,-6.967257,2.2058606
17,-2.4567502,-6.967428,2.205128
18,-2.455214,-6.9677935,2.2033186
19,-2.4538848,-6.968066,2.2017608
20,-2.4517884,-6.9685197,2.1992805
21,-2.451689,-6.9685383,2.199163
22,-2.4509728,-6.968691,2.1983209
23,-2.4491792,-6.9690933,2.1962075
24,-2.4433982,-6.9700675,2.1894617
25,-2.441642,-6.9703846,2.1874046
26,-2.4399104,-6.970665,2.1853886
27,-2.4363103,-6.971268,2.181193
28,-2.4344556,-6.9715757,2.179036
29,-2.4328132,-6.9718366,2.1771235
30,-2.4254675,-6.973044,2.1685555
31,-2.411661,-6.975135,2.1525235
32,-2.4085326,-6.9755707,2.1489012
33,-2.407888,-6.9756594,2.1481555
34,-2.3993526,-6.976879,2.1382737
35,-2.3958375,-6.9773326,2.13421
36,-2.3953865,-6.977439,2.1336884
37,-2.3934436,-6.977662,2.131439
38,-2.3913186,-6.977968,2.1289635
39,-2.390848,-6.978066,2.1284163
40,-2.388303,-6.9784026,2.1254818
41,-2.3808901,-6.9793983,2.1169019
42,-2.37692,-6.979956,2.112317
43,-2.3657138,-6.981429,2.099391
44,-2.3588486,-6.982313,2.0914838
45,-2.3467574,-6.983686,2.0776083
46,-2.346018,-6.98388,2.0767453
47,-2.3388407,-6.984772,2.0684934
48,-2.33758,-6.984921,2.067046
49,-2.3241491,-6.9863987,2.0516627
50,-2.3293657,-6.986144,2.0574937
51,-2.3276966,-6.986335,2.0555804
52,-2.3120112,-6.987948,2.0377452
53,-2.3094137,-6.988255,2.0347607
54,-2.2980742,-6.989486,2.0217853
55,-2.2732332,-6.9918036,1.9934473
56,-2.2666993,-6.9923706,1.986006
57,-2.2644806,-6.992593,1.9834743
58,-2.2624443,-6.992854,1.9811399
59,-2.2597308,-6.993014,1.9780674
60,-2.258186,-6.9930563,1.9763211
61,-2.255336,-6.9931717,1.9730954
62,-2.2545898,-6.993222,1.9722497
63,-2.2545564,-6.993222,1.9722112
64,-2.2542026,-6.9932904,1.9717906
65,-2.243643,-6.9945188,1.9597558
66,-2.242064,-6.994662,1.9579648
67,-2.2367613,-6.9952054,1.9519356
68,-2.2307472,-6.995736,1.9451108
69,-2.2030673,-6.997768,1.9137508
70,-2.1940105,-6.9983926,1.9034947
71,-2.1869664,-6.9986587,1.895555
72,-2.1777112,-6.9992633,1.8850968
73,-2.1652174,-6.9998727,1.8709841
74,-2.1296167,-7.001831,1.8307397
75,-2.1160126,-7.0023956,1.815408
76,-2.0877886,-7.003707,1.7835121
77,-2.068873,-7.0048056,1.7620509
78,-2.0573387,-7.005359,1.748951
79,-2.0406582,-7.0063596,1.730066
80,-2.030775,-7.0068555,1.7189105
81,-2.0219545,-7.0071235,1.7089546
82,-2.007338,-7.0069103,1.6925318
83,-2.0017695,-7.0069437,1.6862614
84,-1.9896185,-7.007186,1.6725771
85,-1.9869746,-7.0073466,1.6696005
86,-1.9711876,-7.0077577,1.6517829
87,-1.9671152,-7.0080714,1.6471735
88,-1.9643495,-7.0080514,1.6440568
89,-1.9589485,-7.007531,1.6380082
90,-1.951706,-7.0075507,1.6298491
91,-1.9476175,-7.0075483,1.625254
92,-1.9433562,-7.0074944,1.6204503
93,-1.9413445,-7.0074034,1.6181865
94,-1.9343078,-7.006926,1.6102921
95,-1.9346584,-7.0068626,1.610699
96,-1.92648,-7.0065994,1.6014972
97,-1.9082612,-7.005447,1.5810404
98,-1.9025805,-7.0053043,1.5746527
99,-1.897512,-7.005086,1.5689687
100,-1.8720683,-7.003252,1.540364
101,-1.8698527,-7.003146,1.5378784
102,-1.8511589,-7.001871,1.5169504
103,-1.8446865,-7.00142,1.5095643
104,-1.8374817,-7.000986,1.50149
105,-1.8309729,-7.0009165,1.4942013
106,-1.8208636,-6.999964,1.4827842
107,-1.8107889,-6.998553,1.4713678
108,-1.795824,-6.996889,1.4545351
109,-1.794391,-6.9967027,1.4529109
110,-1.7741579,-6.994133,1.4299699
111,-1.7680434,-6.993204,1.4230009
112,-1.7651535,-6.9927673,1.4197096
113,-1.764113,-6.9926047,1.4185227
114,-1.7604564,-6.9921913,1.4143801
115,-1.7520361,-6.990946,1.4047481
116,-1.7364435,-6.988635,1.3869443
117,-1.7135607,-6.9851284,1.3588359
118,-1.7037657,-6.98337,1.3478663
119,-1.6937013,-6.9811854,1.3360962
120,-1.6845546,-6.979485,1.3256724
121,-1.6735518,-6.9778714,1.3136805
122,-1.6556745,-6.9744196,1.2929469
123,-1.6504539,-6.9733047,1.2868534
124,-1.640555,-6.970989,1.2750131
125,-1.6139843,-6.9652824,1.244604
126,-1.603164,-6.962628,1.2320015
